Número do Contrato,Objeto,Fundamento Legal,Modalidade Compra,Situação Contrato,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,Código UG,Nome UG,Data Assinatura Contrato,Data Publicação DOU,Data Início Vigência,Data Fim Vigência,CNPJ Contratado,Nome Contratado,Valor Inicial Compra,Valor Final Compra
202020,Objeto: Credenciamento de OCS para prestação de serviço de saúde de natureza contínua para a Policlínica Militar de Porto Alegre.,Fundamento Legal: Inciso II do artigo 57 da Lei nº 8.666/93.,Inexigibilidade de Licitação,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160400,POLICLINICA MILITAR DE PORTO ALEGRE,06/08/2020,10/08/2020,10/08/2020,10/08/2021,22921608000191,SONORIZE CLINICA DA AUDICAO LTDA,600000.0000,600000.0000
112020,Objeto: Contrato de prestação de serviços continuados de Vigilância Patrimonial Armada-- com arma não letal-- com disponibilização de mão de obra em regime de dedicação exclusiva - item 03 - FUNARTE MG.,Fundamento Legal: Lei 8.666/93,Pregão,Publicado,54000,Ministério do Turismo,20412,Fundação Nacional de Artes,403201,FUNDACAO NACIONAL DE ARTES,30/06/2020,04/08/2020,01/07/2020,30/06/2021,14534490000382,G.S.I. - GESTAO DE SEGURANCA INTEGRADA - VIGILANCIA E SEGURANCA LTDA,449992.0800,449992.0800
192020,Objeto: Serviço de portaria e recepção no IRR,Fundamento Legal: Lei 8666/93 e Decreto 10520/2005,Pregão,Publicado,36000,Ministério da Saúde,36201,Fundação Oswaldo Cruz,254423,INSTITUTO RENNÉ RACHOU,30/07/2020,07/08/2020,03/08/2020,03/08/2021,14551828000142,VITHA SERVICE - EMPRESA DE ADMINISTRACAO E TERCEIRIZACAO DE SERVICOS EIRELI,118597.3400,118597.3400
1462020,Objeto: Contratação de empresa especializada em serviços comuns de engenharia-- para manutenção predial-- preventivo e corretivo-- com fornecimento de material-- sob demanda da SRE AMAPÁ.,Fundamento Legal: Lei 8666/93,Pregão,Publicado,39000,Ministério da Infraestrutura,39252,Departamento Nacional de Infraestrutura de Tr,390071,SUPERINTENDENCIA RG.NO ESTADO DO AP - DNIT,23/07/2020,05/08/2020,23/07/2020,23/07/2021,05636462000113,J.J.AZEVEDO CONSTRUTORA LTDA,549986.2800,549986.2800
172020,Objeto: Contratação de empresa especializada na prestação de serviços terceirizados de Recepcionista (CBO- 4221-05)-- de natureza comum-- para atender as necessidades do Centro Regional de Manaus do Censipam.,Fundamento Legal: Lei 8.666/93-- Decreto 9507/18-- Lei nº 10520/02 e IN nº 05/2017.,Pregão,Publicado,52000,Ministério da Defesa,52000,Ministério da Defesa - Unidades com vínculo d,110511,CENTRO GESTOR OP. SISTEMA PROTECAO AMAZÔNIA,05/08/2020,10/08/2020,10/08/2020,09/08/2021,15250755000111,T N SERVICOS ADMINISTRATIVOS EIRELI,34535.3100,34535.3100
242020,Objeto: Aquisição de dispositivos de armazenamento (storage híbrido) com garantia de 60 meses-- instalação e passagem de conhecimento-- para o site secundário (SP) do IBGE.,Fundamento Legal: Lei 8666/93-- lei 10520/02 e lei 8078/90.,Pregão,Publicado,25000,Ministério da Economia,25205,Fundação Instituto Brasileiro de Geografia e ,114601,FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ,03/08/2020,05/08/2020,05/08/2020,05/02/2021,03535902000544,DECISION SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,900000.0000,900000.0000
92020,Objeto: Aquisição de material de consumo-- gêne-ros de alimentação.,Fundamento Legal: Parágrafo único do artigo 01 da Lei 8.666/93.,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160129,ESCOLA DE SARGENTOS DAS ARMAS,01/08/2020,05/08/2020,01/08/2020,01/08/2021,09269451000101,CELLI MERCANTIL E INDUSTRIAL EIRELI,7344.0000,7344.0000
1312020,Objeto: Aquisição de pilhas para uso nos termômetros disponibilizados a GEX Barbacena em razão da Covid 19,Fundamento Legal: Leis 8666/93 e 10520/20,Pregão - Registro de Preço,Publicado,25000,Ministério da Economia,37202,Instituto Nacional do Seguro Social,511829,GERÊNCIA EXECUTIVA BARBACENA,05/08/2020,07/08/2020,05/08/2020,19/09/2020,26312888000191,ROSENEIDE DA SILVA 31624995691,107.0000,107.0000
42020,Objeto: Contratação de empresa para prestação de serviços de manutenção corretiva para equipamentos médicos hospitalares-- autoclaves-- refrigeradores-- freezers-- fogões e maquinas de lavar pertencentes ao patrimônio do DSEI VILHENA.,Fundamento Legal: Lei nº 8.666/93,Pregão,Publicado,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257050,DISTRITO SANIT.ESP.INDIGENA - VILHENA,31/07/2020,05/08/2020,31/07/2020,31/07/2021,13383651000150,EDGAR MARTINS DE QUEIROZ,17211.8500,17211.8500
152020,Objeto: Aquisição de gêneros alimentícios (açúcar cristal e arroz) para 4ª Região Militar.,Fundamento Legal: Parágrafo único do artigo 61 da Lei 8666/93.,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160118,COMANDO DA 4ª REGIÃO MILITAR,23/03/2020,10/08/2020,23/03/2020,22/03/2021,21467701000105,SUPER CESTA BASICA DE ALIMENTOS EIRELI,32208.6200,32208.6200
12020,Objeto: Serviço especializado de banda Larga fixa-- ponto de acesso a Internet com velocidade minima de 10Mbps de Upload e 35Mbps de Donwload na ARF/Barra do Garças/MT com modem fornecido pela contratada-- instalação e serviço de suporte e capacidade tecnica para tunelamento padrão poenVPN-- roteador com suporte minimo a 20 dispositivos conectados simultaneamente-- suporte a administração remota com protocolos seguros-- suporte a Dynamic DNS e sem franquia mensal de trafego conforme condições estabelecidas em edital.,Fundamento Legal: 8666-93,Pregão,Publicado,25000,Ministério da Economia,25000,Ministério da Economia - Unidades com vínculo,170192,DELEGACIA DA RFB EM CUIABA,24/07/2020,07/08/2020,27/07/2020,26/03/2022,11840992000181,FLAVIO GARCIA FERREIRA,6600.0000,6600.0000
382020,Objeto: Contratação de Serviços de Propriedade Intelectual para o IFRS.,Fundamento Legal: Artigo 61 parágrafo único da lei 8.666/93.,Pregão - Registro de Preço,Publicado,26000,Ministério da Educação,26419,Instituto Federal do Rio Grande do Sul,158141,INST.FED.DE EDUC.-- CIENC.E TEC.DO RS,10/07/2020,10/08/2020,10/07/2020,10/07/2021,23470584000164,CWLAW PROPRIEDADE INTELECTUAL LTDA.,7413.0000,7413.0000
102020,Objeto: Contratação de empresa especializada em rastreamento e monitoramento de veículos de propriedade da Contratante.,Fundamento Legal: Art. 48 da Lei 13.303/16,Dispensa de Licitação,Publicado,52000,Ministério da Defesa,52221,Indústria de Material Bélico do Brasil,168004,INDUSTRIA DE MATERIAL BELICO DO BRASIL/FPV,21/07/2020,03/08/2020,21/07/2020,20/07/2021,25011497000174,FOXTRACK RASTREAMENTOS E MONITORAMENTOS LTDA,1176.0000,1176.0000
1462020,Objeto: Contratação de serviço para substituição dos cubículos de entrada de energia e mediação para o destacamento de São Roque-SP,Fundamento Legal: Art. 60 e Art.62 da Lei 8.666/1993,Pregão,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,120195,CENTRO DE AQUISIÇÕES ESPECÍFICAS,03/08/2020,06/08/2020,03/08/2020,28/08/2021,01598794000108,ADKL ZELLER ELETRO SISTEMAS LTDA,99000.0000,99000.0000
302020,Objeto: Aquisição emergencial de materiais de cconstrução-- materiais elétricos e ferramentas.,Fundamento Legal: Caput do art. 4º da Lei 13.979/20.,Dispensa de Licitação,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO,04/08/2020,10/08/2020,04/08/2020,31/01/2021,01268775000105,CASTELAO COM MAT DE CONSTRUCAO E SERVICOS LTDA,139423.7600,139423.7600
892020,Objeto: O presente Contrato tem por objeto o fornecimento de água encanada e coleta e tratamento de esgotos a ser realizado pela Contratada na Unidade II do Câmpus de Três Lagoas da Universidade Federal de Mato Grosso do Sul-- no endereço Av. Ranulpho Marques Leal-- 3484-- Distrito Industrial LL-- Três Lagoas-- MS.,Fundamento Legal: Lei 8.666/1993,Inexigibilidade de Licitação,Publicado,26000,Ministério da Educação,26283,Fundação Universidade Federal do Mato Grosso ,154054,FUNDACAO UNIVERS.FED. DE MATO GROSSO DO SUL,06/08/2020,10/08/2020,06/08/2020,,03982931000120,EMPRESA DE SANEAMENTO DE MATO GROSSO DO SUL S.A.SANESUL,382409.8800,382409.8800
172020,Objeto: Fornecimento de Energia Elétrica para oHospital Universitário da Universidade Federal de Santa Maria (HUSM-UFSM),Fundamento Legal: Art. 29º Inciso X da Lei 13.303/2016,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,155125,EBSERH HUSM-UFSM,19/06/2020,06/08/2020,19/06/2020,18/06/2021,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,6000000.0000,6000000.0000
542020,Objeto: O presente instrumento é a contratação de serviço comum de engenharia que será prestado nas condições estabelecidas no Termo de Referência e demais documentos técnicos que se encontram anexos ao Edital.,Fundamento Legal: Lei 8666/93,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160038,6º DEPÓSITO DE SUPRIMENTO,18/06/2020,06/08/2020,18/06/2020,18/06/2021,09144431000104,ALTAR SERVICOS E EMPREENDIMENTOS EIRELI,5408.0000,5408.0000
4712020,Objeto: Aquisição de material hospitalar (Colchão com compressor-- agulha hipodérmica e outros).,Fundamento Legal: Art.61 Paragrafo Unico da Lei 8.666/93.,Pregão - Registro de Preço,Publicado,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,250057,INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,17/07/2020,04/08/2020,17/07/2020,14/10/2020,21551379000874,BECTON DICKINSON INDUSTRIAS CIRURGICAS LTDA,5104.8000,5104.8000
42020,Objeto: Contratação de empresa especializada para prestação de serviço de concepção criativa-- projeto e execução de exposição de longa duração para o Museu Nacional da Imigração e Colonização (MNIC) de Joinville/SC.,Fundamento Legal: Lei 8.666/1993,Tomada de Preços,Publicado,54000,Ministério do Turismo,20411,Instituto do Patrimônio Histórico e Artístico,343011,SUPERINTENDENCIA DO IPHAN S.CATARINA-- IPHAN-SC,05/08/2020,06/08/2020,05/08/2020,29/09/2021,05661196000189,STRAUB DESIGN COMUNICACAO LTDA,2911736.9500,2911736.9500
42020,Objeto: O objeto do presente instrumento é a contratação de serviços de transporte terrestre ou agenciamento/intermediação de transporte terrestre dos servidores-- empregados e colaboradores a serviço da Reitoria do Colégio Pedro II-- por demanda e no âmbito da Região Metropolitana do Rio de Janeiro-RJ.,Fundamento Legal: Lei 8.666/1993-- Lei 10.520/2002-- Decreto 7.892/2013-- Decreto 9.507/2018 e IN SEGES 5/2017.,Pregão - Registro de Preço,Publicado,26000,Ministério da Educação,26201,Colégio Pedro II,153167,COLÉGIO PEDRO II,30/07/2020,07/08/2020,30/07/2020,30/07/2021,31344070000190,COOPARIOCA COOPERATIVA DE TRABALHO DE TAXI CARIOCA LTDA,29284.3700,29284.3700
822020,Objeto: Aquisição de 10 tablets e demais características contidas no termo de referência e edital-- destinados ao patrimônio e ao STI-UNIVASF.,Fundamento Legal: Lei nº 8.666/93 e suas alterações posteriores e Lei nº 10.520/02.,Pregão - Registro de Preço,Publicado,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São ,154421,FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,10/07/2020,10/08/2020,10/07/2020,10/07/2021,26168952000102,VIA COMERCIO E REPRESENTACAO DE INFORMATICA EIRELI,29970.0000,29970.0000
52020,Objeto: Serviços de Manutennçao Predial. Obsevação: O valor contratual correto no contrato é R$ 3.629.994.24-- entretanto-- devido à limitação de casas decimais-- o valor publicado esta a menor.,Fundamento Legal: Lei 8666/93,Pregão - Registro de Preço,Publicado,26000,Ministério da Educação,26262,Universidade Federal de São Paulo,153031,UNIFESP-UNIVERSIDADE FEDERAL DE SAO PAULO,17/01/2020,07/08/2020,17/01/2020,16/01/2022,23170931000133,MURANO CONSTRUCOES LTDA,3629892.0200,3629892.0200
2272020,Objeto: Aquisição de disjuntor tripolar a vácuo,Fundamento Legal: Art. 57 da Lei Federal 8.666/93.,Pregão,Publicado,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257003,INSTITUTO EVANDRO CHAGAS,30/07/2020,03/08/2020,07/08/2020,07/08/2021,08772301000145,WZ UNIAO AUTOMACAO E ELETRICA EIRELI,37614.2900,37614.2900
32020,Objeto: Contratação de serviços constinuados de Gerenciamento de Meios Logísticos - Almoxarifado Virtual para o Campus Pouso Alegre do IFSULDEMINAS.,Fundamento Legal: Lei 8666/93.,Pregão - Registro de Preço,Publicado,26000,Ministério da Educação,26412,Instituto Federal do Sul de Minas Gerais,154811,IFSULDEMINAS - CAMPUS POUSO ALEGRE,03/07/2020,05/08/2020,03/07/2020,03/07/2021,03746938000143,BRS SP SUPRIMENTOS CORPORATIVOS LTDA.,70000.0000,70000.0000
902020,Objeto: Aquisição de 1 extrator automático e demais características contidas no termo de referência e propostas-- destiando a ação 2 de enfrentamento ao COVID-19 - UNIVASF.,Fundamento Legal: Lei nº 8.666/93 e suas alterações posteriores e Lei nº13.979/2020.,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São ,154421,FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,28/07/2020,10/08/2020,28/07/2020,28/01/2021,12426369000140,PROSCIENCE COMERCIO-- IMPORTACAO E EXPORTACAO LTDA,125440.0000,125440.0000
5092020,Objeto: Fornecimento-- com instalação e garantia de 24 meses-- de Impressoras Multifuncionais Plotter e Scanners para o Departamento Nacional de Infraestrutura de Transportes. Gestora: Fernanda Gimenez Machado Faé - Diretora da DAF-- substituta,Fundamento Legal: Lei nº 8.666/93-- Decreto nº 3.722/01-- Decreto nº 7.174/10.,Pregão,Publicado,39000,Ministério da Infraestrutura,39252,Departamento Nacional de Infraestrutura de Tr,393003,DEPART.NAC.INFRA ESTRUTURA TRANSPORTES.,31/07/2020,07/08/2020,31/07/2020,31/07/2022,89237911028908,GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA.,84300.0000,84300.0000
142020,Objeto: Aquisição de produtos oriundos da agricultura familiar com recurso do PNAE: Manteiga-- queijo mussarela.,Fundamento Legal: Lei 8.666/1993-- Lei 11.947/2009 e legislação correlata,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26421,Instituto Federal de Rondônia,158341,INST.FED.RONDONIA/CAMPUS COLORADO DO OESTE-RO,27/07/2020,04/08/2020,27/07/2020,27/07/2020,77266978220,MARCIO SCALON DOS SANTOS,16009.6000,16009.6000
292020,Objeto: Constitui objeto do presente instrumento a aquisição de reagentes e insumos para a realização de exames e monitoramento dos pacientes COVID-19 com fornecimento de equipamento em regime de comodato.,Fundamento Legal: Lei 13979/2020-- Lei 13303/2016 e Regulamento de Licitações e contratos EBSERH.,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,155018,EBSERH HUGV-UFAM,17/07/2020,05/08/2020,17/07/2020,16/10/2020,06003551000195,QUALIVIDROS DISTRIBUIDORA LTDA,10400.0000,10400.0000
1272020,Objeto: Aquisição de itens da marca Sigma.,Fundamento Legal: Art.25/I daLei 8.666/93,Inexigibilidade de Licitação,A Publicar,36000,Ministério da Saúde,36201,Fundação Oswaldo Cruz,254445,INSTITUTO DE TECNOLOGIA EM IMUNOBIOLOGICOS,03/07/2020,11/08/2020,03/07/2020,26/02/2021,68337658000127,SIGMA-ALDRICH BRASIL LTDA,301702.2000,301702.2000
402020,Objeto: Serviço de manutenção de bens imóveis (reparação do forro do saguão dos Bl A-- B-- C-- E-- F e G da Vila Militar Visconde do Pirajá),Fundamento Legal: § Único do Art. 61 da Lei 8.666/93,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160525,ESCOLA DE FORMACÃO COMPLEMENTAR DO EXERCITO,04/08/2020,07/08/2020,04/08/2020,04/08/2021,09144431000104,ALTAR SERVICOS E EMPREENDIMENTOS EIRELI,5009.0000,5009.0000
172020,Objeto: Contratação de serviços de coleta-- transporte e destinação adequada de resíduos sólidos - lixo tipo comum.,Fundamento Legal: lei 8666/93,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26431,Instituto Federal do Piauí,158354,INST. FED. PIAUÍ/CAMPUS TERESINA ZONA SUL,22/07/2020,03/08/2020,03/08/2020,03/08/2021,33221237000232,G PACHECO ROCHA,8294.4000,8294.4000
382020,Objeto: Prestação de serviço de instalação de forro de gesso.,Fundamento Legal: Lei nº8.666/1993.,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160082,PREFEITURA MILITAR DE BRASILIA,20/07/2020,07/08/2020,20/07/2020,19/07/2021,07340740000116,L V X COMERCIO E SERVICOS LTDA,19450.0000,19450.0000
122020,Objeto: Aquisição de produtos oriundos_da agricultura familiar (PNAE). Carne de peixe tipo costelinha-- carne de peixe tipo filé.,Fundamento Legal: Lei 8.666/1993-- Lei 11947/2020 e legislação correlata.,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26421,Instituto Federal de Rondônia,158341,INST.FED.RONDONIA/CAMPUS COLORADO DO OESTE-RO,27/07/2020,04/08/2020,27/07/2020,27/07/2020,49126440997,EDNA MATIKO MATSUBARA,19990.5400,19990.5400
852020,Objeto: Um total de 90 cadeiras Diretor Universitária com Grade de Apoio-- Braço Americano com Prancheta Escamoteável destinadas aos auditórios da UO031 (30) e da GR03 (60).,Fundamento Legal: Lei 8666/93-- Lei 12305/10-- Decreto 7746/12 e IN n. 1/2010 SLTI/MPOG,Pregão,Publicado,24000,Ministério da Ciência-- Tecnologia-- Inovações ,41231,Agêncial Nacional de Telecomunicações,413004,AGENCIA NACIONAL DE TELECOMUNICACOES-PR,31/07/2020,05/08/2020,31/07/2020,28/10/2020,05684135000137,VITRINE AMBIENTES PARA ESCRITORIO LTDA,31950.0000,31950.0000
402020,Objeto: Aquisição de equipamentos para Uti's e Clínicas.,Fundamento Legal: Lei 13979,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,155904,HOSPITAL DAS CLINICAS DA UNIV. FED. DE GOIAS,04/08/2020,10/08/2020,04/08/2020,04/02/2021,04360651000143,ANA MARIA PIRES BELEM,64062.0000,64062.0000
3212020,Objeto: Aquisição de material de consumo (aquisição de órteses e próteses sob medida)-- em favor da paciente VICTORIA BARBOSA SANTANNA-PRONTUÁRIO:219833.,Fundamento Legal: § 1º DO ARTIGO 61 DA LEI 8.666/93.,Pregão - Registro de Preço,Publicado,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,250057,INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,08/05/2020,03/08/2020,08/05/2020,08/05/2021,68726355000104,NABOR SOUZA DOS SANTOS ORTOPEDIA TECNICA,1248.3400,1248.3400
42019,Objeto: Serviço de confecção de Projeto Básico para serviço de obra de engenharia para amplia-ção da sala de aula do Ensino Profissional Ma- rítimo.,Fundamento Legal: LEI 8666.,Dispensa de Licitação,A Publicar,52000,Ministério da Defesa,52131,Comando da Marinha,781332,DELEG. DA CAPITANIA DOS PORTOS EM ITACURUCA,10/09/2019,24/08/2020,10/09/2019,21/10/2019,21195289000111,LWG ENGENHARIA LTDA,9000.0000,9000.0000
32020,Objeto: Aquisição para aquisição de Solução para extração-- processamento e análise de dados e informações obtidos por meio de plataformas eletrônicas portáteis.,Fundamento Legal: Lei 8.666/93,Pregão,Publicado,30000,Ministério da Justiça e Segurança Pública,30000,Ministério da Justiça e Segurança Pública - U,200330,SECRETARIA NACIONAL DE SEG. PÚBLICA - SENASP,08/01/2020,06/08/2020,08/01/2020,08/01/2021,05757597000218,TECHBIZ FORENSE DIGITAL LTDA,2860000.0000,2860000.0000
332020,Objeto: Prestação de serviços de instalação de soleiras-- peitoris-- balcões e portais.,Fundamento Legal: Lei nº 8.666/1993.,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160082,PREFEITURA MILITAR DE BRASILIA,20/07/2020,06/08/2020,20/07/2020,19/07/2021,20936189000136,RVA COMERCIO E SERVICOS DE CONSTRUCOES EIRELI,12103.0000,12103.0000
